percent	CC_mask	CC_volume	CC_peaks	CC_box	CC_mc	CC_sc	rama_favored	rotamer_favored	clashscore	rama_outliers	rotamer_outliers	cbeta_deviations	Bond	Angle	rama_z
0.59	0.8028	0.7837	0.6457	0.7304	0.798	0.7795932499999999	95.92	96.76	6.12	0	0.2	0	0.006	1.066	1.34
0.6	0.8046924999999998	0.7855	0.6494	0.7333	0.7996	0.7813	95.99	96.93924999999999	6.02	0	0.19	0	0.006	1.06	1.3
0.61	0.80659175	0.7872	0.6529	0.7366	0.8013	0.7829	96.05	97.09	5.92	0	0.18	0	0.006	1.055	1.27
0.62	0.8084	0.7888	0.656291	0.7392909999999999	0.8031	0.7848	96.12	97.26	5.81	0	0.16	0	0.005	1.05	1.22
0.63	0.8101	0.7905	0.6598	0.742	0.8048	0.7864	96.18	97.44	5.72	0	0.15	0	0.005	1.044	1.18
0.64	0.8117	0.7922	0.6634895000000001	0.7453	0.8067	0.7881	96.24895000000001	97.61	5.61	0	0.14	0	0.005	1.038	1.14
0.65	0.81368875	0.794	0.6666	0.7481	0.8086	0.7897	96.32	97.77	5.5	0	0.12	0	0.005	1.033	1.11
0.66	0.8155	0.7959	0.6704	0.7513	0.8103	0.7913	96.39	97.95	5.4	0	0.11	0	0.005	1.028	1.07
0.67	0.8174	0.7975	0.6735	0.7545	0.8122	0.793	96.45	98.13	5.3	0	0.1	0	0.005	1.023	1.04
0.68	0.8191	0.7994	0.6766	0.7576	0.814	0.7948	96.52	98.26	5.19	0	0.09	0	0.005	1.019	1
0.69	0.8207	0.8011	0.6801857499999998	0.761	0.8159	0.7964	96.6	98.4	5.09	0	0.07	0	0.005	1.014	0.97
0.7	0.8223	0.8026	0.683685	0.7648	0.8175	0.7979	96.66	98.51	4.98	0	0.06	0	0.005	1.009	0.94
0.71	0.8242	0.8045	0.6869	0.7676	0.8195	0.7995	96.74	98.63	4.88	0	0.05	0	0.005	1.004	0.9
0.72	0.8259	0.8061	0.6903	0.7711	0.8213	0.8012834999999998	96.81	98.74	4.76	0	0.03	0	0.005	1	0.87
0.73	0.8275	0.8079	0.6936	0.77458275	0.823	0.8029	96.88	98.84	4.66	0	0.02	0	0.005	0.995	0.83
0.74	0.8294	0.8097	0.6971	0.7774	0.8248	0.8048	96.93	98.94	4.54	0	0	0	0.005	0.991	0.8
0.75	0.8312	0.8117812499999999	0.7005	0.7803	0.8265	0.8064	97	99.04	4.44	0	0	0	0.005	0.987	0.77
0.76	0.8332	0.8133	0.7042	0.7835	0.8284	0.8081	97.07	99.13	4.32	0	0	0	0.005	0.983	0.74
0.77	0.8351	0.8153	0.70797975	0.7867	0.83017975	0.80987975	97.14	99.2	4.21	0	0	0	0.005	0.979	0.71
0.78	0.8370789999999999	0.817079	0.711579	0.7904	0.8319	0.8118	97.21	99.26	4.09	0	0	0	0.005	0.974	0.68
0.79	0.839	0.819	0.7147782500000002	0.7938	0.8337	0.8138	97.27	99.31	3.98	0	0	0	0.004	0.97	0.65
0.8	0.8408	0.8212	0.7185	0.7973775000000001	0.8356	0.8157	97.34	99.36	3.86	0	0	0	0.004	0.966	0.62
0.81	0.843	0.8233	0.7224	0.8006767499999999	0.8376	0.818	97.41	99.41	3.74	0	0	0	0.004	0.962	0.59
0.82	0.845	0.8254	0.7259	0.8043	0.8394	0.8199	97.48	99.45	3.62	0	0	0	0.004	0.957	0.56
0.83	0.847	0.8274	0.7294752499999999	0.8086	0.8413	0.8219	97.55	99.49	3.5	0	0	0	0.004	0.953	0.53
0.84	0.8488	0.8297	0.7336	0.8128	0.8431	0.8241	97.62	99.53	3.36	0	0	0	0.004	0.948	0.49
0.85	0.8509	0.8319	0.73757375	0.81707375	0.8453	0.8264	97.7	99.56	3.24	0	0	0	0.004	0.944	0.46
0.86	0.8531	0.8343	0.7422	0.8215	0.8473	0.8286	97.77	99.6	3.09	0	0	0	0.004	0.939	0.43
0.87	0.8553	0.8366	0.7464	0.826	0.8498	0.8308	97.85	99.63	2.94	0	0	0	0.004	0.934	0.39
0.88	0.8577	0.8392	0.7514	0.8306	0.8519	0.8329	97.93	99.66	2.78	0	0	0	0.004	0.929	0.36
0.89	0.8605	0.8415	0.7561	0.8351	0.8546	0.8355	98.02	99.69	2.61	0	0	0	0.004	0.923	0.33
0.9	0.8629	0.844	0.7614	0.8402	0.8572	0.8382	98.09	99.71	2.41	0	0	0	0.004	0.917	0.29
0.91	0.8654692500000001	0.8471	0.7667	0.8452	0.8595	0.8412	98.19	99.74	2.21	0	0	0	0.004	0.91	0.26307499999999934
0.92	0.8685	0.8506	0.7718685000000001	0.8508	0.8623	0.8441	98.27	99.77	2	0	0	0	0.004	0.902	0.23314999999999952
0.93	0.8717	0.8542	0.778	0.8559	0.8655677500000002	0.8475	98.37	99.8	1.78	0	0	0	0.004	0.892	0.21
0.94	0.8751	0.858	0.7841	0.8626	0.8689	0.8511669999999999	98.47	99.83	1.55	0	0	0	0.004	0.88	0.18
0.95	0.8788	0.8625	0.7908	0.8694	0.8728	0.8552662499999998	98.57662499999998	99.86	1.25	0	0	0	0.004	0.867	0.15
0.96	0.8831	0.8677655	0.7995654999999999	0.8774	0.8778	0.8601654999999999	98.73	99.9	0.97	0	0	0	0.004	0.846	0.12
0.97	0.8887	0.8741	0.8089	0.88686475	0.8836	0.8661	98.89	99.95	0.71	0	0	0	0.004	0.81	0.09
0.98	0.8951	0.882064	0.822664	0.8966	0.8906639999999999	0.8737	99.12	100	0.38	0	0	0	0.003	0.765	0.06
0.99	0.9072	0.8954632499999999	0.8403	0.90816325	0.9012	0.8875632499999999	99.55	100	0.08	0	0	0	0.003	0.703	0.03
1	0.984	0.9668	0.966	0.9837	0.9805	0.9727	100	100	0	0	0	0	0.002	0.405	0
